epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3333333333333333,0.19602611730271305,0.14474205986437677,0.899873257287706,0.07934472452265118,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.3023255813953488, 'recall': 0.06878306878306878, 'f1': 0.11206896551724138, 'support': 189}, {'label': 3, 'precision': 0.35703479576399394, 'recall': 0.8368794326241135, 'f1': 0.5005302226935313, 'support': 282}, {'label': 4, 'precision': 0.21875, 'recall': 0.07446808510638298, 'f1': 0.1111111111111111, 'support': 188}]","[[0, 0, 5, 22, 2], [4, 0, 16, 77, 4], [2, 1, 13, 160, 13], [5, 3, 7, 236, 31], [2, 4, 2, 166, 14]]","{'accuracy': 0.33533831565413047, 'macro_f1': 0.14813917379182723, 'mae': 0.888490140088247, 'quadratic_weighted_kappa': 0.07163109382402044}",1.4432120861058302
2,0.4372623574144487,0.3022561729323895,0.2952793117195566,0.6920152091254753,0.3974503987719441,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.48484848484848486, 'recall': 0.15841584158415842, 'f1': 0.23880597014925373, 'support': 101}, {'label': 2, 'precision': 0.3668639053254438, 'recall': 0.328042328042328, 'f1': 0.3463687150837989, 'support': 189}, {'label': 3, 'precision': 0.4442231075697211, 'recall': 0.7907801418439716, 'f1': 0.5688775510204082, 'support': 282}, {'label': 4, 'precision': 0.5176470588235295, 'recall': 0.23404255319148937, 'f1': 0.32234432234432236, 'support': 188}]","[[0, 8, 8, 10, 3], [0, 16, 54, 31, 0], [0, 4, 62, 109, 14], [0, 2, 33, 223, 24], [0, 3, 12, 129, 44]]","{'accuracy': 0.4268918136711112, 'macro_f1': 0.28180503084760244, 'mae': 0.7162734665335792, 'quadratic_weighted_kappa': 0.35008922340473203}",1.2433517323700647
3,0.5107731305449936,0.40397778379661675,0.4008927357789413,0.6045627376425855,0.5544445298064229,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.46534653465346537, 'recall': 0.46534653465346537, 'f1': 0.46534653465346537, 'support': 101}, {'label': 2, 'precision': 0.43333333333333335, 'recall': 0.4126984126984127, 'f1': 0.42276422764227645, 'support': 189}, {'label': 3, 'precision': 0.5263157894736842, 'recall': 0.6737588652482269, 'f1': 0.5909797822706065, 'support': 282}, {'label': 4, 'precision': 0.5986394557823129, 'recall': 0.46808510638297873, 'f1': 0.5253731343283582, 'support': 188}]","[[0, 15, 7, 3, 4], [0, 47, 39, 12, 3], [0, 23, 78, 78, 10], [0, 7, 43, 190, 42], [0, 9, 13, 78, 88]]","{'accuracy': 0.5063053305878003, 'macro_f1': 0.3921626696633985, 'mae': 0.6310976029756166, 'quadratic_weighted_kappa': 0.5171079932212687}",1.1301001872399914
4,0.5462610899873257,0.4525809115865994,0.44227736535879797,0.5627376425855514,0.6090694690425416,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5294117647058824, 'recall': 0.6237623762376238, 'f1': 0.5727272727272728, 'support': 101}, {'label': 2, 'precision': 0.5423728813559322, 'recall': 0.5079365079365079, 'f1': 0.5245901639344263, 'support': 189}, {'label': 3, 'precision': 0.5493827160493827, 'recall': 0.6312056737588653, 'f1': 0.5874587458745875, 'support': 282}, {'label': 4, 'precision': 0.5562130177514792, 'recall': 0.5, 'f1': 0.5266106442577031, 'support': 188}]","[[0, 15, 7, 6, 1], [0, 63, 25, 11, 2], [0, 25, 96, 53, 15], [0, 6, 41, 178, 57], [0, 10, 8, 76, 94]]","{'accuracy': 0.5340507126060087, 'macro_f1': 0.4306629616583725, 'mae': 0.5979153021576763, 'quadratic_weighted_kappa': 0.5628398663592865}",1.0217448382323233
5,0.6286438529784537,0.49740688354549734,0.4953198893825464,0.45373891001267425,0.6683213367070993,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.574468085106383, 'recall': 0.5346534653465347, 'f1': 0.5538461538461539, 'support': 101}, {'label': 2, 'precision': 0.5679611650485437, 'recall': 0.6190476190476191, 'f1': 0.5924050632911393, 'support': 189}, {'label': 3, 'precision': 0.6353276353276354, 'recall': 0.7907801418439716, 'f1': 0.7045813586097947, 'support': 282}, {'label': 4, 'precision': 0.7391304347826086, 'recall': 0.5425531914893617, 'f1': 0.6257668711656442, 'support': 188}]","[[0, 15, 10, 3, 1], [0, 54, 38, 7, 2], [0, 15, 117, 50, 7], [0, 1, 32, 223, 26], [0, 9, 9, 68, 102]]","{'accuracy': 0.6345815720593673, 'macro_f1': 0.4963723627410278, 'mae': 0.4662357033696423, 'quadratic_weighted_kappa': 0.6427812588904112}",0.908746987845659
6,0.6641318124207858,0.54961239791659,0.5358509104015783,0.41064638783269963,0.7199210692344521,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5882352941176471, 'recall': 0.693069306930693, 'f1': 0.6363636363636364, 'support': 101}, {'label': 2, 'precision': 0.6067961165048543, 'recall': 0.6613756613756614, 'f1': 0.6329113924050633, 'support': 189}, {'label': 3, 'precision': 0.6931034482758621, 'recall': 0.7127659574468085, 'f1': 0.7027972027972028, 'support': 282}, {'label': 4, 'precision': 0.735632183908046, 'recall': 0.6808510638297872, 'f1': 0.7071823204419889, 'support': 188}]","[[0, 21, 4, 2, 2], [0, 70, 24, 5, 2], [0, 17, 125, 40, 7], [0, 4, 42, 201, 35], [0, 7, 11, 42, 128]]","{'accuracy': 0.6641907927968427, 'macro_f1': 0.5292703693111823, 'mae': 0.4283331883227839, 'quadratic_weighted_kappa': 0.691622931683954}",0.8344383964218265
7,0.7275031685678074,0.6037520427443646,0.5985784145332268,0.3485424588086185,0.7387723773315287,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6666666666666666, 'recall': 0.7326732673267327, 'f1': 0.6981132075471698, 'support': 101}, {'label': 2, 'precision': 0.6700507614213198, 'recall': 0.6984126984126984, 'f1': 0.6839378238341969, 'support': 189}, {'label': 3, 'precision': 0.7525083612040134, 'recall': 0.7978723404255319, 'f1': 0.774526678141136, 'support': 282}, {'label': 4, 'precision': 0.7845303867403315, 'recall': 0.7553191489361702, 'f1': 0.7696476964769647, 'support': 188}]","[[1, 17, 3, 4, 4], [0, 74, 21, 3, 3], [0, 14, 132, 38, 5], [0, 1, 29, 225, 27], [0, 5, 12, 29, 142]]","{'accuracy': 0.7206289993708154, 'macro_f1': 0.5914421169983355, 'mae': 0.37807318642153437, 'quadratic_weighted_kappa': 0.6952123976706045}",0.7328685548520057
8,0.7693282636248415,0.6344025689296386,0.6169124060681368,0.2902408111533587,0.7964831084401998,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.627906976744186, 'recall': 0.801980198019802, 'f1': 0.7043478260869566, 'support': 101}, {'label': 2, 'precision': 0.7712765957446809, 'recall': 0.7671957671957672, 'f1': 0.7692307692307693, 'support': 189}, {'label': 3, 'precision': 0.7940199335548173, 'recall': 0.8475177304964538, 'f1': 0.8198970840480274, 'support': 282}, {'label': 4, 'precision': 0.8304093567251462, 'recall': 0.7553191489361702, 'f1': 0.7910863509749304, 'support': 188}]","[[0, 22, 3, 3, 1], [0, 81, 15, 4, 1], [0, 16, 145, 22, 6], [0, 4, 18, 239, 21], [0, 6, 7, 33, 142]]","{'accuracy': 0.773340867839802, 'macro_f1': 0.6162898693846819, 'mae': 0.297310316131054, 'quadratic_weighted_kappa': 0.7820656844503069}",0.6375463436085008
9,0.7870722433460076,0.6623485820964446,0.6550514514461383,0.26996197718631176,0.8159687695650573,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6461538461538462, 'recall': 0.8316831683168316, 'f1': 0.7272727272727273, 'support': 101}, {'label': 2, 'precision': 0.7458563535911602, 'recall': 0.7142857142857143, 'f1': 0.7297297297297297, 'support': 189}, {'label': 3, 'precision': 0.8379310344827586, 'recall': 0.8617021276595744, 'f1': 0.8496503496503497, 'support': 282}, {'label': 4, 'precision': 0.8440860215053764, 'recall': 0.8351063829787234, 'f1': 0.839572192513369, 'support': 188}]","[[2, 20, 5, 1, 1], [0, 84, 13, 2, 2], [0, 19, 135, 27, 8], [0, 3, 18, 243, 18], [0, 4, 10, 17, 157]]","{'accuracy': 0.7995426226285741, 'macro_f1': 0.650925515557461, 'mae': 0.26566818847182244, 'quadratic_weighted_kappa': 0.8084021425511116}",0.5366508456086326
10,0.8314321926489227,0.7727333815378533,0.7949359978710384,0.20278833967046894,0.8757771111252952,"[{'label': 0, 'precision': 0.8888888888888888, 'recall': 0.5517241379310345, 'f1': 0.6808510638297872, 'support': 29}, {'label': 1, 'precision': 0.76, 'recall': 0.7524752475247525, 'f1': 0.7562189054726368, 'support': 101}, {'label': 2, 'precision': 0.7598039215686274, 'recall': 0.8201058201058201, 'f1': 0.7888040712468194, 'support': 189}, {'label': 3, 'precision': 0.8631578947368421, 'recall': 0.8723404255319149, 'f1': 0.8677248677248677, 'support': 282}, {'label': 4, 'precision': 0.8956043956043956, 'recall': 0.8670212765957447, 'f1': 0.8810810810810811, 'support': 188}]","[[16, 12, 1, 0, 0], [0, 76, 19, 4, 2], [2, 9, 155, 17, 6], [0, 1, 24, 246, 11], [0, 2, 5, 18, 163]]","{'accuracy': 0.8450445262948434, 'macro_f1': 0.8075818390024752, 'mae': 0.18901979112035955, 'quadratic_weighted_kappa': 0.8833773933743742}",0.46455778428961264
11,0.8694550063371356,0.8001439889997455,0.8113963691633828,0.16603295310519645,0.8895091387594466,"[{'label': 0, 'precision': 0.7142857142857143, 'recall': 0.5172413793103449, 'f1': 0.6, 'support': 29}, {'label': 1, 'precision': 0.7641509433962265, 'recall': 0.801980198019802, 'f1': 0.782608695652174, 'support': 101}, {'label': 2, 'precision': 0.8877005347593583, 'recall': 0.8783068783068783, 'f1': 0.8829787234042553, 'support': 189}, {'label': 3, 'precision': 0.9042553191489362, 'recall': 0.9042553191489362, 'f1': 0.9042553191489362, 'support': 282}, {'label': 4, 'precision': 0.8756476683937824, 'recall': 0.898936170212766, 'f1': 0.8871391076115486, 'support': 188}]","[[15, 13, 0, 0, 1], [4, 81, 9, 4, 3], [2, 8, 166, 9, 4], [0, 2, 9, 255, 16], [0, 2, 3, 14, 169]]","{'accuracy': 0.8744510242981288, 'macro_f1': 0.8145923371219504, 'mae': 0.1683138455267065, 'quadratic_weighted_kappa': 0.8805519296343063}",0.3758907062585816
12,0.8567807351077313,0.7778432701251469,0.7964700531687205,0.17110266159695817,0.8968189282288398,"[{'label': 0, 'precision': 1.0, 'recall': 0.3793103448275862, 'f1': 0.55, 'support': 29}, {'label': 1, 'precision': 0.7583333333333333, 'recall': 0.900990099009901, 'f1': 0.8235294117647058, 'support': 101}, {'label': 2, 'precision': 0.8307692307692308, 'recall': 0.8571428571428571, 'f1': 0.84375, 'support': 189}, {'label': 3, 'precision': 0.8920863309352518, 'recall': 0.8794326241134752, 'f1': 0.8857142857142857, 'support': 282}, {'label': 4, 'precision': 0.8864864864864865, 'recall': 0.8723404255319149, 'f1': 0.8793565683646113, 'support': 188}]","[[11, 17, 1, 0, 0], [0, 91, 8, 1, 1], [0, 8, 162, 13, 6], [0, 2, 18, 248, 14], [0, 2, 6, 16, 164]]","{'accuracy': 0.8570016631904416, 'macro_f1': 0.8017096758064218, 'mae': 0.17989161871248355, 'quadratic_weighted_kappa': 0.8860261533922755}",0.38189012665863425
13,0.8795944233206591,0.8448484426753822,0.8517830735325465,0.1482889733840304,0.9056376828729062,"[{'label': 0, 'precision': 0.7916666666666666, 'recall': 0.6551724137931034, 'f1': 0.7169811320754716, 'support': 29}, {'label': 1, 'precision': 0.8482142857142857, 'recall': 0.9405940594059405, 'f1': 0.892018779342723, 'support': 101}, {'label': 2, 'precision': 0.903954802259887, 'recall': 0.8465608465608465, 'f1': 0.8743169398907104, 'support': 189}, {'label': 3, 'precision': 0.8732876712328768, 'recall': 0.9042553191489362, 'f1': 0.8885017421602788, 'support': 282}, {'label': 4, 'precision': 0.8967391304347826, 'recall': 0.8776595744680851, 'f1': 0.8870967741935484, 'support': 188}]","[[19, 9, 0, 0, 1], [2, 95, 2, 2, 0], [2, 5, 160, 18, 4], [0, 2, 11, 255, 14], [1, 1, 4, 17, 165]]","{'accuracy': 0.8886381112698172, 'macro_f1': 0.8536430470337057, 'mae': 0.14231101701537677, 'quadratic_weighted_kappa': 0.9064480215106999}",0.33627753655682346
14,0.8694550063371356,0.8220506199730828,0.829436426412683,0.15716096324461343,0.9011309509875338,"[{'label': 0, 'precision': 0.72, 'recall': 0.6206896551724138, 'f1': 0.6666666666666666, 'support': 29}, {'label': 1, 'precision': 0.8252427184466019, 'recall': 0.8415841584158416, 'f1': 0.8333333333333334, 'support': 101}, {'label': 2, 'precision': 0.8333333333333334, 'recall': 0.8465608465608465, 'f1': 0.8398950131233596, 'support': 189}, {'label': 3, 'precision': 0.8846153846153846, 'recall': 0.8971631205673759, 'f1': 0.8908450704225352, 'support': 282}, {'label': 4, 'precision': 0.9289617486338798, 'recall': 0.9042553191489362, 'f1': 0.9164420485175202, 'support': 188}]","[[18, 7, 2, 2, 0], [4, 85, 11, 0, 1], [1, 9, 160, 17, 2], [1, 1, 17, 253, 10], [1, 1, 2, 14, 170]]","{'accuracy': 0.883132584353845, 'macro_f1': 0.8398331505181929, 'mae': 0.1375413682873207, 'quadratic_weighted_kappa': 0.9185117560992975}",0.3301629176686774
15,0.9062103929024081,0.8753849183961124,0.8875861121100765,0.10899873257287707,0.9388251843524059,"[{'label': 0, 'precision': 0.9166666666666666, 'recall': 0.7586206896551724, 'f1': 0.8301886792452831, 'support': 29}, {'label': 1, 'precision': 0.8627450980392157, 'recall': 0.8712871287128713, 'f1': 0.8669950738916257, 'support': 101}, {'label': 2, 'precision': 0.8622448979591837, 'recall': 0.8941798941798942, 'f1': 0.8779220779220779, 'support': 189}, {'label': 3, 'precision': 0.9228070175438596, 'recall': 0.9326241134751773, 'f1': 0.927689594356261, 'support': 282}, {'label': 4, 'precision': 0.9505494505494505, 'recall': 0.9202127659574468, 'f1': 0.9351351351351351, 'support': 188}]","[[22, 6, 1, 0, 0], [2, 88, 9, 1, 1], [0, 7, 169, 11, 2], [0, 1, 12, 263, 6], [0, 0, 5, 10, 173]]","{'accuracy': 0.9063065994301085, 'macro_f1': 0.8878041963284238, 'mae': 0.1084930362711665, 'quadratic_weighted_kappa': 0.9405952478844103}",0.28425418356072313
16,0.9062103929024081,0.8744741788925774,0.8826961939507928,0.12167300380228137,0.9143245936565754,"[{'label': 0, 'precision': 0.8461538461538461, 'recall': 0.7586206896551724, 'f1': 0.8, 'support': 29}, {'label': 1, 'precision': 0.8877551020408163, 'recall': 0.8613861386138614, 'f1': 0.8743718592964824, 'support': 101}, {'label': 2, 'precision': 0.865979381443299, 'recall': 0.8888888888888888, 'f1': 0.8772845953002611, 'support': 189}, {'label': 3, 'precision': 0.9293286219081273, 'recall': 0.9326241134751773, 'f1': 0.9309734513274336, 'support': 282}, {'label': 4, 'precision': 0.9308510638297872, 'recall': 0.9308510638297872, 'f1': 0.9308510638297872, 'support': 188}]","[[22, 5, 1, 1, 0], [2, 87, 9, 1, 2], [0, 6, 168, 11, 4], [0, 0, 12, 263, 7], [2, 0, 4, 7, 175]]","{'accuracy': 0.9185635053561259, 'macro_f1': 0.8873852358466066, 'mae': 0.1075358961531118, 'quadratic_weighted_kappa': 0.9230630420861143}",0.28053983203660704
17,0.917617237008872,0.9113883601265831,0.914546566947225,0.10012674271229405,0.9392653972099018,"[{'label': 0, 'precision': 0.9285714285714286, 'recall': 0.896551724137931, 'f1': 0.9122807017543859, 'support': 29}, {'label': 1, 'precision': 0.900990099009901, 'recall': 0.900990099009901, 'f1': 0.900990099009901, 'support': 101}, {'label': 2, 'precision': 0.8994708994708994, 'recall': 0.8994708994708994, 'f1': 0.8994708994708994, 'support': 189}, {'label': 3, 'precision': 0.9192982456140351, 'recall': 0.9290780141843972, 'f1': 0.9241622574955908, 'support': 282}, {'label': 4, 'precision': 0.9408602150537635, 'recall': 0.9308510638297872, 'f1': 0.9358288770053476, 'support': 188}]","[[26, 2, 0, 1, 0], [2, 91, 6, 1, 1], [0, 5, 170, 10, 4], [0, 2, 12, 262, 6], [0, 1, 1, 11, 175]]","{'accuracy': 0.9238975472271164, 'macro_f1': 0.9122436347635083, 'mae': 0.09572904657980534, 'quadratic_weighted_kappa': 0.9395673722718334}",0.22297658772692935
18,0.9188846641318125,0.8980659733164037,0.9031314356774963,0.10392902408111533,0.9273547555473713,"[{'label': 0, 'precision': 0.8620689655172413, 'recall': 0.8620689655172413, 'f1': 0.8620689655172413, 'support': 29}, {'label': 1, 'precision': 0.9333333333333333, 'recall': 0.8316831683168316, 'f1': 0.8795811518324608, 'support': 101}, {'label': 2, 'precision': 0.882051282051282, 'recall': 0.91005291005291, 'f1': 0.8958333333333334, 'support': 189}, {'label': 3, 'precision': 0.9337979094076655, 'recall': 0.950354609929078, 'f1': 0.9420035149384886, 'support': 282}, {'label': 4, 'precision': 0.9361702127659575, 'recall': 0.9361702127659575, 'f1': 0.9361702127659575, 'support': 188}]","[[25, 2, 1, 0, 1], [3, 84, 12, 1, 1], [0, 3, 172, 13, 1], [0, 0, 5, 268, 9], [1, 1, 5, 5, 176]]","{'accuracy': 0.9187556040535282, 'macro_f1': 0.8945866379984551, 'mae': 0.10736689844186162, 'quadratic_weighted_kappa': 0.9227595620454458}",0.24745255489143128
19,0.9429657794676806,0.931768873355211,0.9263604938531038,0.07858048162230671,0.9416717407346176,"[{'label': 0, 'precision': 0.8387096774193549, 'recall': 0.896551724137931, 'f1': 0.8666666666666667, 'support': 29}, {'label': 1, 'precision': 0.9292929292929293, 'recall': 0.9108910891089109, 'f1': 0.92, 'support': 101}, {'label': 2, 'precision': 0.9123711340206185, 'recall': 0.9365079365079365, 'f1': 0.9242819843342036, 'support': 189}, {'label': 3, 'precision': 0.9744525547445255, 'recall': 0.9468085106382979, 'f1': 0.960431654676259, 'support': 282}, {'label': 4, 'precision': 0.9528795811518325, 'recall': 0.9680851063829787, 'f1': 0.9604221635883905, 'support': 188}]","[[26, 1, 1, 0, 1], [3, 92, 5, 0, 1], [1, 4, 177, 5, 2], [0, 2, 8, 267, 5], [1, 0, 3, 2, 182]]","{'accuracy': 0.944440527145572, 'macro_f1': 0.9342723477542579, 'mae': 0.07555687072067825, 'quadratic_weighted_kappa': 0.9477696939186586}",0.19271237708165467
20,0.9302915082382763,0.9076436526019929,0.9140820318275698,0.08491761723700887,0.9465839392797575,"[{'label': 0, 'precision': 0.8888888888888888, 'recall': 0.8275862068965517, 'f1': 0.8571428571428571, 'support': 29}, {'label': 1, 'precision': 0.9183673469387755, 'recall': 0.8910891089108911, 'f1': 0.9045226130653267, 'support': 101}, {'label': 2, 'precision': 0.9210526315789473, 'recall': 0.9259259259259259, 'f1': 0.9234828496042217, 'support': 189}, {'label': 3, 'precision': 0.9401408450704225, 'recall': 0.9468085106382979, 'f1': 0.9434628975265018, 'support': 282}, {'label': 4, 'precision': 0.9368421052631579, 'recall': 0.9468085106382979, 'f1': 0.9417989417989417, 'support': 188}]","[[24, 4, 0, 1, 0], [2, 90, 7, 2, 0], [0, 4, 175, 6, 4], [0, 0, 7, 267, 8], [1, 0, 1, 8, 178]]","{'accuracy': 0.9308192230012512, 'macro_f1': 0.9124198425716127, 'mae': 0.08117866790086756, 'quadratic_weighted_kappa': 0.9532680350442734}",0.20639832059089072
